Name,Latitude,Longitude,Day,Type,Notes
"Pullman Paris Montparnasse (HOTEL)","48.8384551","2.320393","Home base","Hotel","19 Rue du Commandant René Mouchotte, 75014. +33 1 44 36 44 36. Next to Gare Montparnasse (trains to Versailles-Chantiers). Rooftop bar."
"Le Select","48.8426118","2.3284069","Tue Oct 6","Café","Lost Generation haunt near the hotel. Morning coffee at the bar."
"Le Dôme","48.8420072","2.3289451","Tue Oct 6","Café","Historic art deco brasserie across from Le Select. A drink on the covered terrace; famous for seafood."
"Le Rosebud","48.8416605","2.3282787","Tue Oct 6","Bar","1960s jazz-era cocktail bar on Rue Delambre. Nightcap near the hotel. Opens 6pm."
"La Closerie des Lilas","48.8401436","2.3360432","Tue Oct 6","Café","Hemingway's hangout; famous names engraved on the bar. Drink in the piano bar. Opens noon."
"Jardin du Luxembourg","48.8466144","2.3363309","Sun Oct 11 (option B)","Sight","Grab two green chairs by the fountain and relax."
"Café de la Mairie","48.8515084","2.3337044","Wed Oct 7","Café","Locals' terrace on Place Saint-Sulpice. Coffee or wine; skip the food."
"Les Deux Magots","48.854052","2.3331062","Wed Oct 7","Café","Famous and pricey but worth it once. Order the hot chocolate."
"Café de Flore","48.8541588","2.3326046","Wed Oct 7","Café","Next door to Deux Magots. Sit on the terrace."
"La Palette","48.8554318","2.3368618","Wed Oct 7","Café","Gallery-street terrace on Rue de Seine. Stick to wine; cocktails are overpriced."
"Les Antiquaires","48.8586582","2.3288088","Wed Oct 7","Café","Corner bistro two blocks from Orsay. Coffee before or lunch after."
"Musée d'Orsay","48.8599614","2.3265614","Wed Oct 7","Museum","Book timed ticket. Closed Mondays. Start on the 5th floor (Impressionists)."
"Musée de l'Orangerie","48.8637884","2.3226724","Wed Oct 7","Museum","Monet's Water Lilies. Book timed ticket. Closed Tuesdays. About 1 hour."
"Arc de Triomphe","48.8737917","2.2950275","Sun Oct 11 (option B)","Sight","Option B afternoon: rooftop views + Champs-Élysées. Covered by the museum pass, walk-in. Use the underground tunnel to reach it."
"Sainte-Chapelle","48.855375","2.3449609","Sun Oct 11","Sight","Book timed ticket: 3:30pm (option A) or 9:30am (option B). Morning light is best."
"Notre-Dame de Paris","48.8529682","2.3499021","Sun Oct 11","Sight","Free entry. Reserve a free time slot online to skip the main line."
"Le Saint-Régis","48.8529059","2.3537978","Sun Oct 11","Café","Just over the bridge on Île Saint-Louis. Coffee stop after Notre-Dame."
"Berthillon","48.8517135","2.3567206","Sun Oct 11","Café","Best sorbet in Paris. Closed Mon & Tue."
"Benoit","48.8584202","2.3500687","Sun Oct 11","Restaurant","RESERVE Sunday dinner 7:30pm. 1912 bistro, open daily 12-2 and 7-10pm. Get the profiteroles."
"Eiffel Tower","48.8583701","2.2944813","Thu Oct 8","Existing plan","Dinner with the friends (already arranged). The tower sparkles on the hour after dark. Watch for pickpockets."
"Rue Cler","48.8577001","2.3059504","Thu Oct 8","Market","HIGHLIGHT. Pedestrian market street: cheese shops, bakeries, produce, flowers. Best Tue-Sat; most shops closed Mon, quiet Sun afternoon."
"Café du Marché","48.856669","2.306326","Thu Oct 8","Café","The Rue Cler café. Terrace lunch and people-watching."
"Napoleon's Tomb (Invalides)","48.8550614","2.3125393","Thu Oct 8","Sight","10 min walk from Rue Cler. About an hour for the dome."
"Le Nemours","48.8630568","2.3365269","Thu Oct 8","Café","Terrace under the Palais-Royal arcades steps from the Louvre. Coffee before / recovery after."
"Louvre","48.8606111","2.337644","Thu Oct 8","Museum","Book earliest timed slot. Closed Tuesdays. Pick 3-4 must-sees."
"Le Rubis","48.866177","2.331403","Extra (near Louvre)","Wine bar","Old-school zinc wine bar full of regulars. Chalkboard menu. Closed Sunday."
"Willi's Wine Bar","48.866314","2.338319","Extra (near Louvre)","Wine bar","Paris wine-bar institution since 1980. Great early dinner. Closed Sunday."
"Le Baron Rouge","48.8494461","2.3773588","Wed Oct 7","Wine bar","Standing-room wine bar by the Aligre market. Pre-dinner glass; 10 min walk to Paul Bert."
"Bistrot Paul Bert","48.8522102","2.3850177","Wed Oct 7","Restaurant","RESERVE (call ~10:30am or 4pm Paris time). Steak au poivre. Closed Sun & Mon."
"Marché Edgar-Quinet","48.8415657","2.3238078","Wed Oct 7 + Sat Oct 10","Market","WED & SAT mornings (7am-1:30/2:30pm). 5 min walk from hotel. Rotisserie chicken + oysters."
"Marché Raspail","48.8498686","2.3270825","Extra (not scheduled)","Market","TUE & FRI mornings; SUNDAY is the famous organic market. Near Luxembourg."
"Poilâne","48.8512944","2.3289972","Wed Oct 7 + Mon Oct 12","Bakery","THE legendary bread bakery. Get a slice of the big P loaf, the apple tart, and the butter cookies. Closed Sun."
"Pierre Hermé","48.8514868","2.332762","Wed Oct 7","Bakery","Best macarons in Paris. Try the Ispahan (rose/raspberry/lychee). Takeaway only."
"La Grande Épicerie de Paris","48.8503167","2.3239433","Mon Oct 12","Food hall","Gorgeous gourmet food hall. Butter, cheese, gifts to bring home; big wine cellar downstairs. Open daily."
"Fromagerie Quatrehomme","48.8481026","2.3195897","Extra (not scheduled)","Cheese shop","Top cheesemonger; staff will pick for you and vacuum-pack for the flight. Closed Mon."
"La Dernière Goutte","48.8539463","2.3361959","Wed Oct 7","Wine shop","Tiny, friendly wine shop; owner speaks English and loves recommending bottles. Great Burgundy."
"Barthélémy","48.8544587","2.3255338","Extra (not scheduled)","Cheese shop","Classic old cheese shop ~10 min walk from Orsay. Vacuum-packs for travel. Closed Sun & Mon."
"La Maison d'Isabelle","48.8498436","2.3482751","Sun Oct 11 (option B)","Bakery","Award-winning croissant, just across the bridge from Notre-Dame. Short line moves fast. Closed Mon."
"Fromagerie Laurent Dubois","48.8498024","2.3485006","Sun Oct 11 (option B)","Cheese shop","Next door to Isabelle. Ask to taste the aged Comté. Closed Mon."
"Marché Maubert","48.8499215","2.3485543","Extra (not scheduled)","Market","TUE, THU & SAT mornings. Small, local market 5 min from Notre-Dame."
"Marché aux Fleurs","48.8551453","2.3476661","Sun Oct 11","Market","Flower market between Sainte-Chapelle and Notre-Dame. Open daily."
"Marché Saxe-Breteuil","48.8481169","2.3104749","Extra (not scheduled)","Market","THU & SAT mornings. Big, beautiful market with the Eiffel Tower in view. Go before 11."
"Marie-Anne Cantin","48.8564772","2.3055702","Thu Oct 8","Cheese shop","Top cheese shop right off Rue Cler; ask for a 5-cheese tasting plate for a Champ de Mars picnic. Closed Mon."
"Stohrer","48.8652644","2.3468149","Extra (near Louvre)","Bakery","Oldest pastry shop in Paris (1730) on the Rue Montorgueil market street, ~15 min from the Louvre. Get the baba au rhum."
"Legrand Filles et Fils","48.8663131","2.3398759","Thu Oct 8","Wine shop","Historic wine shop + tasting bar in Galerie Vivienne, steps from Palais-Royal. Closed Sun."
"Marché d'Aligre","48.8500235","2.3789591","Extra (not scheduled)","Market","TUE-SUN mornings (closed Mon); busiest Sat & Sun. Outdoor stalls + covered hall + flea market. Morning trip, separate from dinner."
"Blé Sucré","48.8505998","2.3766946","Extra (not scheduled)","Bakery","Locals' pick for croissant and pain au chocolat, right by Aligre. Closed Mon."
"Palace of Versailles","48.8048649","2.1203554","Extra (not scheduled)","Sight","CLOSED MON. Book timed tickets ahead; take earliest slot. Train from Gare Montparnasse to Versailles-Chantiers (~15 min) then ~20 min walk or taxi."
"Marché Notre-Dame (Versailles)","48.8065744","2.1321226","Extra (not scheduled)","Market","Outdoor market TUE, FRI & SUN mornings; covered halls open Tue-Sun. Build a picnic for the palace gardens."
